
# No. epochs 10000 
# Run	Heap memory	 Time (CPU seconds)
1	    1220608	0.040000
2	    1220608	0.050000
3	    1220608	0.050000
4	    1220608	0.050000
5	    1220608	0.050000

# No. epochs 20000 
# Run	Heap memory	 Time (CPU seconds)
1	    2375680	0.200000
2	    2375680	0.200000
3	    2375680	0.190000
4	    2375680	0.190000
5	    2375680	0.210000

# No. epochs 30000 
# Run	Heap memory	 Time (CPU seconds)
1	    3555328	0.550000
2	    3555328	0.550000
3	    3555328	0.540000
4	    3555328	0.540000
5	    3555328	0.550000

# No. epochs 40000 
# Run	Heap memory	 Time (CPU seconds)
1	    4775936	1.120000
2	    4775936	1.090000
3	    4775936	1.130000
4	    4775936	1.100000
5	    4775936	1.100000

# No. epochs 50000 
# Run	Heap memory	 Time (CPU seconds)
1	    5971968	1.920000
2	    5971968	1.950000
3	    5971968	2.030000
4	    5971968	1.990000
5	    5971968	1.870000
